"","Units","scenario","region","subresource","year","value","rundate"
"1","km^3","Reference","Africa_Eastern","groundwater grade hist",1975,0,2024-02-25 19:37:56
"2","km^3","Reference","Africa_Eastern","groundwater grade hist",1990,0,2024-02-25 19:37:56
"3","km^3","Reference","Africa_Eastern","groundwater grade hist",2005,0,2024-02-25 19:37:56
"4","km^3","Reference","Africa_Eastern","groundwater grade hist",2010,1.93182e-05,2024-02-25 19:37:56
"5","km^3","Reference","Africa_Eastern","groundwater grade hist",2015,0.08793662172,2024-02-25 19:37:56
"6","km^3","Reference","Africa_Eastern","groundwater grade hist",2020,0.091910761,2024-02-25 19:37:56
"7","km^3","Reference","Africa_Eastern","groundwater grade hist",2025,0.004465297,2024-02-25 19:37:56
"8","km^3","Reference","Africa_Eastern","groundwater grade hist",2030,0,2024-02-25 19:37:56
"9","km^3","Reference","Africa_Eastern","groundwater grade hist",2035,0,2024-02-25 19:37:56
"10","km^3","Reference","Africa_Eastern","groundwater grade hist",2040,0,2024-02-25 19:37:56
"11","km^3","Reference","Africa_Eastern","groundwater grade hist",2045,0,2024-02-25 19:37:56
"12","km^3","Reference","Africa_Eastern","groundwater grade hist",2050,0,2024-02-25 19:37:56
"13","km^3","Reference","Africa_Eastern","groundwater grade hist",2055,0,2024-02-25 19:37:56
"14","km^3","Reference","Africa_Eastern","groundwater grade hist",2060,0,2024-02-25 19:37:56
"15","km^3","Reference","Africa_Eastern","groundwater grade hist",2065,0,2024-02-25 19:37:56
"16","km^3","Reference","Africa_Eastern","groundwater grade hist",2070,0,2024-02-25 19:37:56
"17","km^3","Reference","Africa_Eastern","groundwater grade hist",2075,0,2024-02-25 19:37:56
"18","km^3","Reference","Africa_Eastern","groundwater grade hist",2080,0,2024-02-25 19:37:56
"19","km^3","Reference","Africa_Eastern","groundwater grade hist",2085,0,2024-02-25 19:37:56
"20","km^3","Reference","Africa_Eastern","groundwater grade hist",2090,0,2024-02-25 19:37:56
"21","km^3","Reference","Africa_Eastern","groundwater grade hist",2095,0,2024-02-25 19:37:56
"22","km^3","Reference","Africa_Eastern","groundwater grade hist",2100,0,2024-02-25 19:37:56
"23","km^3","Reference","Africa_Eastern","groundwater grade1",1975,0,2024-02-25 19:37:56
"24","km^3","Reference","Africa_Eastern","groundwater grade1",1990,0,2024-02-25 19:37:56
"25","km^3","Reference","Africa_Eastern","groundwater grade1",2005,0,2024-02-25 19:37:56
"26","km^3","Reference","Africa_Eastern","groundwater grade1",2010,0,2024-02-25 19:37:56
"27","km^3","Reference","Africa_Eastern","groundwater grade1",2015,0,2024-02-25 19:37:56
"28","km^3","Reference","Africa_Eastern","groundwater grade1",2020,0,2024-02-25 19:37:56
"29","km^3","Reference","Africa_Eastern","groundwater grade1",2025,1.59742,2024-02-25 19:37:56
"30","km^3","Reference","Africa_Eastern","groundwater grade1",2030,11.9392,2024-02-25 19:37:56
"31","km^3","Reference","Africa_Eastern","groundwater grade1",2035,21.7769,2024-02-25 19:37:56
"32","km^3","Reference","Africa_Eastern","groundwater grade1",2040,27.2353,2024-02-25 19:37:56
"33","km^3","Reference","Africa_Eastern","groundwater grade1",2045,15.991,2024-02-25 19:37:56
"34","km^3","Reference","Africa_Eastern","groundwater grade1",2050,19.42155,2024-02-25 19:37:56
"35","km^3","Reference","Africa_Eastern","groundwater grade1",2055,12.71725,2024-02-25 19:37:56
"36","km^3","Reference","Africa_Eastern","groundwater grade1",2060,1.63417,2024-02-25 19:37:56
"37","km^3","Reference","Africa_Eastern","groundwater grade1",2065,2.17255,2024-02-25 19:37:56
"38","km^3","Reference","Africa_Eastern","groundwater grade1",2070,2.65913,2024-02-25 19:37:56
"39","km^3","Reference","Africa_Eastern","groundwater grade1",2075,3.06511,2024-02-25 19:37:56
"40","km^3","Reference","Africa_Eastern","groundwater grade1",2080,3.38829,2024-02-25 19:37:56
