"","Units","scenario","region","year","value","rundate"
"1","thous","Reference","Africa_Eastern",1975,91890,2024-02-25 19:37:56
"2","thous","Reference","Africa_Eastern",1990,145593,2024-02-25 19:37:56
"3","thous","Reference","Africa_Eastern",2005,222829,2024-02-25 19:37:56
"4","thous","Reference","Africa_Eastern",2010,255333,2024-02-25 19:37:56
"5","thous","Reference","Africa_Eastern",2015,292560,2024-02-25 19:37:56
"6","thous","Reference","Africa_Eastern",2020,322577,2024-02-25 19:37:56
"7","thous","Reference","Africa_Eastern",2025,351017,2024-02-25 19:37:56
"8","thous","Reference","Africa_Eastern",2030,376925,2024-02-25 19:37:56
"9","thous","Reference","Africa_Eastern",2035,401048,2024-02-25 19:37:56
"10","thous","Reference","Africa_Eastern",2040,422552,2024-02-25 19:37:56
"11","thous","Reference","Africa_Eastern",2045,440815,2024-02-25 19:37:56
"12","thous","Reference","Africa_Eastern",2050,455652,2024-02-25 19:37:56
"13","thous","Reference","Africa_Eastern",2055,467361,2024-02-25 19:37:56
"14","thous","Reference","Africa_Eastern",2060,476083,2024-02-25 19:37:56
"15","thous","Reference","Africa_Eastern",2065,482314,2024-02-25 19:37:56
"16","thous","Reference","Africa_Eastern",2070,485990,2024-02-25 19:37:56
"17","thous","Reference","Africa_Eastern",2075,487044,2024-02-25 19:37:56
"18","thous","Reference","Africa_Eastern",2080,485582,2024-02-25 19:37:56
"19","thous","Reference","Africa_Eastern",2085,481746,2024-02-25 19:37:56
"20","thous","Reference","Africa_Eastern",2090,475685,2024-02-25 19:37:56
"21","thous","Reference","Africa_Eastern",2095,467600,2024-02-25 19:37:56
"22","thous","Reference","Africa_Eastern",2100,457713,2024-02-25 19:37:56
"23","thous","Reference","Africa_Northern",1975,81330,2024-02-25 19:37:56
"24","thous","Reference","Africa_Northern",1990,119597,2024-02-25 19:37:56
"25","thous","Reference","Africa_Northern",2005,155472,2024-02-25 19:37:56
"26","thous","Reference","Africa_Northern",2010,168395,2024-02-25 19:37:56
"27","thous","Reference","Africa_Northern",2015,184959,2024-02-25 19:37:56
"28","thous","Reference","Africa_Northern",2020,194564,2024-02-25 19:37:56
"29","thous","Reference","Africa_Northern",2025,202008,2024-02-25 19:37:56
"30","thous","Reference","Africa_Northern",2030,207561,2024-02-25 19:37:56
"31","thous","Reference","Africa_Northern",2035,211993,2024-02-25 19:37:56
"32","thous","Reference","Africa_Northern",2040,215275,2024-02-25 19:37:56
"33","thous","Reference","Africa_Northern",2045,217208,2024-02-25 19:37:56
"34","thous","Reference","Africa_Northern",2050,217623,2024-02-25 19:37:56
"35","thous","Reference","Africa_Northern",2055,216661,2024-02-25 19:37:56
"36","thous","Reference","Africa_Northern",2060,214427,2024-02-25 19:37:56
"37","thous","Reference","Africa_Northern",2065,211266,2024-02-25 19:37:56
"38","thous","Reference","Africa_Northern",2070,207232,2024-02-25 19:37:56
"39","thous","Reference","Africa_Northern",2075,202348,2024-02-25 19:37:56
"40","thous","Reference","Africa_Northern",2080,196705,2024-02-25 19:37:56
"41","thous","Reference","Africa_Northern",2085,190457,2024-02-25 19:37:56
"42","thous","Reference","Africa_Northern",2090,183833,2024-02-25 19:37:56
"43","thous","Reference","Africa_Northern",2095,176932,2024-02-25 19:37:56
"44","thous","Reference","Africa_Northern",2100,169415,2024-02-25 19:37:56
"45","thous","Reference","Africa_Southern",1975,53046,2024-02-25 19:37:56
"46","thous","Reference","Africa_Southern",1990,83159,2024-02-25 19:37:56
"47","thous","Reference","Africa_Southern",2005,121701,2024-02-25 19:37:56
"48","thous","Reference","Africa_Southern",2010,139244,2024-02-25 19:37:56
"49","thous","Reference","Africa_Southern",2015,160447,2024-02-25 19:37:56
"50","thous","Reference","Africa_Southern",2020,176478,2024-02-25 19:37:56
"51","thous","Reference","Africa_Southern",2025,191903,2024-02-25 19:37:56
"52","thous","Reference","Africa_Southern",2030,206180,2024-02-25 19:37:56
"53","thous","Reference","Africa_Southern",2035,219861,2024-02-25 19:37:56
"54","thous","Reference","Africa_Southern",2040,232245,2024-02-25 19:37:56
"55","thous","Reference","Africa_Southern",2045,242900,2024-02-25 19:37:56
"56","thous","Reference","Africa_Southern",2050,251738,2024-02-25 19:37:56
"57","thous","Reference","Africa_Southern",2055,258993,2024-02-25 19:37:56
"58","thous","Reference","Africa_Southern",2060,264720,2024-02-25 19:37:56
"59","thous","Reference","Africa_Southern",2065,269219,2024-02-25 19:37:56
"60","thous","Reference","Africa_Southern",2070,272379,2024-02-25 19:37:56
"61","thous","Reference","Africa_Southern",2075,274182,2024-02-25 19:37:56
"62","thous","Reference","Africa_Southern",2080,274686,2024-02-25 19:37:56
"63","thous","Reference","Africa_Southern",2085,273948,2024-02-25 19:37:56
"64","thous","Reference","Africa_Southern",2090,271989,2024-02-25 19:37:56
"65","thous","Reference","Africa_Southern",2095,268823,2024-02-25 19:37:56
"66","thous","Reference","Africa_Southern",2100,264517,2024-02-25 19:37:56
"67","thous","Reference","Africa_Western",1975,159160,2024-02-25 19:37:56
"68","thous","Reference","Africa_Western",1990,239535,2024-02-25 19:37:56
"69","thous","Reference","Africa_Western",2005,360464,2024-02-25 19:37:56
"70","thous","Reference","Africa_Western",2010,415301,2024-02-25 19:37:56
"71","thous","Reference","Africa_Western",2015,478031,2024-02-25 19:37:56
"72","thous","Reference","Africa_Western",2020,529514,2024-02-25 19:37:56
"73","thous","Reference","Africa_Western",2025,580789,2024-02-25 19:37:56
"74","thous","Reference","Africa_Western",2030,629853,2024-02-25 19:37:56
"75","thous","Reference","Africa_Western",2035,678460,2024-02-25 19:37:56
"76","thous","Reference","Africa_Western",2040,724711,2024-02-25 19:37:56
"77","thous","Reference","Africa_Western",2045,766859,2024-02-25 19:37:56
"78","thous","Reference","Africa_Western",2050,803883,2024-02-25 19:37:56
