"","Units","scenario","region","fuel","year","value","rundate"
"1","EJ","Reference","Africa_Eastern","a oil",2005,0.581279,2024-02-25 19:37:56
"2","EJ","Reference","Africa_Eastern","a oil",2010,0.811771,2024-02-25 19:37:56
"3","EJ","Reference","Africa_Eastern","a oil",2015,0.985284,2024-02-25 19:37:56
"4","EJ","Reference","Africa_Eastern","a oil",2020,1.25267,2024-02-25 19:37:56
"5","EJ","Reference","Africa_Eastern","a oil",2025,1.35778,2024-02-25 19:37:56
"6","EJ","Reference","Africa_Eastern","a oil",2030,1.45296,2024-02-25 19:37:56
"7","EJ","Reference","Africa_Eastern","a oil",2035,1.65851,2024-02-25 19:37:56
"8","EJ","Reference","Africa_Eastern","a oil",2040,1.74729,2024-02-25 19:37:56
"9","EJ","Reference","Africa_Eastern","a oil",2045,1.57931,2024-02-25 19:37:56
"10","EJ","Reference","Africa_Eastern","a oil",2050,1.44209,2024-02-25 19:37:56
"11","EJ","Reference","Africa_Eastern","a oil",2055,1.37387,2024-02-25 19:37:56
"12","EJ","Reference","Africa_Eastern","a oil",2060,1.32893,2024-02-25 19:37:56
"13","EJ","Reference","Africa_Eastern","a oil",2065,1.2473,2024-02-25 19:37:56
"14","EJ","Reference","Africa_Eastern","a oil",2070,1.08969,2024-02-25 19:37:56
"15","EJ","Reference","Africa_Eastern","a oil",2075,0.936237,2024-02-25 19:37:56
"16","EJ","Reference","Africa_Eastern","a oil",2080,0.798377,2024-02-25 19:37:56
"17","EJ","Reference","Africa_Eastern","a oil",2085,0.630049,2024-02-25 19:37:56
"18","EJ","Reference","Africa_Eastern","a oil",2090,0.487394,2024-02-25 19:37:56
"19","EJ","Reference","Africa_Eastern","a oil",2095,0.360959,2024-02-25 19:37:56
"20","EJ","Reference","Africa_Eastern","a oil",2100,0.251958,2024-02-25 19:37:56
"21","EJ","Reference","Africa_Eastern","b natural gas",2005,0.0380846,2024-02-25 19:37:56
"22","EJ","Reference","Africa_Eastern","b natural gas",2010,0.0393054,2024-02-25 19:37:56
"23","EJ","Reference","Africa_Eastern","b natural gas",2015,0.0424984,2024-02-25 19:37:56
"24","EJ","Reference","Africa_Eastern","b natural gas",2020,0.0631376,2024-02-25 19:37:56
"25","EJ","Reference","Africa_Eastern","b natural gas",2025,0.0982126,2024-02-25 19:37:56
"26","EJ","Reference","Africa_Eastern","b natural gas",2030,0.1947831,2024-02-25 19:37:56
"27","EJ","Reference","Africa_Eastern","b natural gas",2035,0.3471204,2024-02-25 19:37:56
"28","EJ","Reference","Africa_Eastern","b natural gas",2040,0.4918559,2024-02-25 19:37:56
"29","EJ","Reference","Africa_Eastern","b natural gas",2045,0.63890952,2024-02-25 19:37:56
"30","EJ","Reference","Africa_Eastern","b natural gas",2050,0.73692446,2024-02-25 19:37:56
"31","EJ","Reference","Africa_Eastern","b natural gas",2055,0.792664759,2024-02-25 19:37:56
"32","EJ","Reference","Africa_Eastern","b natural gas",2060,0.7878593,2024-02-25 19:37:56
"33","EJ","Reference","Africa_Eastern","b natural gas",2065,0.7444505,2024-02-25 19:37:56
"34","EJ","Reference","Africa_Eastern","b natural gas",2070,0.6904373,2024-02-25 19:37:56
"35","EJ","Reference","Africa_Eastern","b natural gas",2075,0.6319966,2024-02-25 19:37:56
"36","EJ","Reference","Africa_Eastern","b natural gas",2080,0.5810165,2024-02-25 19:37:56
"37","EJ","Reference","Africa_Eastern","b natural gas",2085,0.5456942,2024-02-25 19:37:56
"38","EJ","Reference","Africa_Eastern","b natural gas",2090,0.5200255,2024-02-25 19:37:56
"39","EJ","Reference","Africa_Eastern","b natural gas",2095,0.5001872,2024-02-25 19:37:56
"40","EJ","Reference","Africa_Eastern","b natural gas",2100,0.4418218,2024-02-25 19:37:56
"41","EJ","Reference","Africa_Eastern","c coal",1975,0.00202275,2024-02-25 19:37:56
"42","EJ","Reference","Africa_Eastern","c coal",1990,0.00259314,2024-02-25 19:37:56
"43","EJ","Reference","Africa_Eastern","c coal",2005,0.00614678,2024-02-25 19:37:56
"44","EJ","Reference","Africa_Eastern","c coal",2010,0.00321168,2024-02-25 19:37:56
"45","EJ","Reference","Africa_Eastern","c coal",2015,0.00245694,2024-02-25 19:37:56
"46","EJ","Reference","Africa_Eastern","c coal",2020,0.005548,2024-02-25 19:37:56
"47","EJ","Reference","Africa_Eastern","c coal",2025,0.00743768,2024-02-25 19:37:56
"48","EJ","Reference","Africa_Eastern","c coal",2030,0.01094,2024-02-25 19:37:56
"49","EJ","Reference","Africa_Eastern","c coal",2035,0.0148757,2024-02-25 19:37:56
"50","EJ","Reference","Africa_Eastern","c coal",2040,0.0201379,2024-02-25 19:37:56
"51","EJ","Reference","Africa_Eastern","c coal",2045,0.0267376,2024-02-25 19:37:56
"52","EJ","Reference","Africa_Eastern","c coal",2050,0.0361601,2024-02-25 19:37:56
"53","EJ","Reference","Africa_Eastern","c coal",2055,0.0494977,2024-02-25 19:37:56
"54","EJ","Reference","Africa_Eastern","c coal",2060,0.0657858,2024-02-25 19:37:56
"55","EJ","Reference","Africa_Eastern","c coal",2065,0.0826899,2024-02-25 19:37:56
"56","EJ","Reference","Africa_Eastern","c coal",2070,0.0988568,2024-02-25 19:37:56
"57","EJ","Reference","Africa_Eastern","c coal",2075,0.0936859,2024-02-25 19:37:56
"58","EJ","Reference","Africa_Eastern","c coal",2080,0.0868678,2024-02-25 19:37:56
"59","EJ","Reference","Africa_Eastern","c coal",2085,0.077974,2024-02-25 19:37:56
"60","EJ","Reference","Africa_Eastern","c coal",2090,0.0659492,2024-02-25 19:37:56
"61","EJ","Reference","Africa_Eastern","c coal",2095,0.0504228,2024-02-25 19:37:56
"62","EJ","Reference","Africa_Eastern","c coal",2100,0.0320026,2024-02-25 19:37:56
"63","EJ","Reference","Africa_Eastern","d biomass",1975,0.282644,2024-02-25 19:37:56
"64","EJ","Reference","Africa_Eastern","d biomass",1990,0.650748,2024-02-25 19:37:56
"65","EJ","Reference","Africa_Eastern","d biomass",2005,0.982977,2024-02-25 19:37:56
"66","EJ","Reference","Africa_Eastern","d biomass",2010,1.078565593,2024-02-25 19:37:56
"67","EJ","Reference","Africa_Eastern","d biomass",2015,1.238177402,2024-02-25 19:37:56
"68","EJ","Reference","Africa_Eastern","d biomass",2020,1.3819136940493,2024-02-25 19:37:56
"69","EJ","Reference","Africa_Eastern","d biomass",2025,1.9520151512198,2024-02-25 19:37:56
"70","EJ","Reference","Africa_Eastern","d biomass",2030,3.1591592501145,2024-02-25 19:37:56
"71","EJ","Reference","Africa_Eastern","d biomass",2035,4.8947032977977,2024-02-25 19:37:56
"72","EJ","Reference","Africa_Eastern","d biomass",2040,6.9526526709612,2024-02-25 19:37:56
"73","EJ","Reference","Africa_Eastern","d biomass",2045,9.2328277380304,2024-02-25 19:37:56
"74","EJ","Reference","Africa_Eastern","d biomass",2050,11.4651392276082,2024-02-25 19:37:56
"75","EJ","Reference","Africa_Eastern","d biomass",2055,13.254798083838,2024-02-25 19:37:56
"76","EJ","Reference","Africa_Eastern","d biomass",2060,14.6096528633074,2024-02-25 19:37:56
"77","EJ","Reference","Africa_Eastern","d biomass",2065,15.6362571087103,2024-02-25 19:37:56
"78","EJ","Reference","Africa_Eastern","d biomass",2070,16.3860698457144,2024-02-25 19:37:56
"79","EJ","Reference","Africa_Eastern","d biomass",2075,16.8900097587455,2024-02-25 19:37:56
"80","EJ","Reference","Africa_Eastern","d biomass",2080,17.237774472832,2024-02-25 19:37:56
"81","EJ","Reference","Africa_Eastern","d biomass",2085,17.525055529723,2024-02-25 19:37:56
"82","EJ","Reference","Africa_Eastern","d biomass",2090,17.791127830051,2024-02-25 19:37:56
"83","EJ","Reference","Africa_Eastern","d biomass",2095,17.926023656196,2024-02-25 19:37:56
"84","EJ","Reference","Africa_Eastern","d biomass",2100,18.002347057147,2024-02-25 19:37:56
"85","EJ","Reference","Africa_Eastern","e nuclear",2020,0.00123288759,2024-02-25 19:37:56
"86","EJ","Reference","Africa_Eastern","e nuclear",2025,0.01293640011,2024-02-25 19:37:56
"87","EJ","Reference","Africa_Eastern","e nuclear",2030,0.07923704017,2024-02-25 19:37:56
"88","EJ","Reference","Africa_Eastern","e nuclear",2035,0.24433089876,2024-02-25 19:37:56
"89","EJ","Reference","Africa_Eastern","e nuclear",2040,0.52819773135,2024-02-25 19:37:56
"90","EJ","Reference","Africa_Eastern","e nuclear",2045,0.93741022441,2024-02-25 19:37:56
"91","EJ","Reference","Africa_Eastern","e nuclear",2050,1.45605013522,2024-02-25 19:37:56
"92","EJ","Reference","Africa_Eastern","e nuclear",2055,2.04223814865,2024-02-25 19:37:56
"93","EJ","Reference","Africa_Eastern","e nuclear",2060,2.66672289448,2024-02-25 19:37:56
"94","EJ","Reference","Africa_Eastern","e nuclear",2065,3.29959433584,2024-02-25 19:37:56
"95","EJ","Reference","Africa_Eastern","e nuclear",2070,3.90258389696,2024-02-25 19:37:56
"96","EJ","Reference","Africa_Eastern","e nuclear",2075,4.45461728133,2024-02-25 19:37:56
"97","EJ","Reference","Africa_Eastern","e nuclear",2080,4.93968741601,2024-02-25 19:37:56
"98","EJ","Reference","Africa_Eastern","e nuclear",2085,5.3669987905,2024-02-25 19:37:56
"99","EJ","Reference","Africa_Eastern","e nuclear",2090,5.708234988,2024-02-25 19:37:56
"100","EJ","Reference","Africa_Eastern","e nuclear",2095,5.9119104302,2024-02-25 19:37:56
"101","EJ","Reference","Africa_Eastern","e nuclear",2100,5.9844503126,2024-02-25 19:37:56
"102","EJ","Reference","Africa_Eastern","f hydro",1990,0.0220885,2024-02-25 19:37:56
"103","EJ","Reference","Africa_Eastern","f hydro",2005,0.0372506,2024-02-25 19:37:56
"104","EJ","Reference","Africa_Eastern","f hydro",2010,0.0651303,2024-02-25 19:37:56
"105","EJ","Reference","Africa_Eastern","f hydro",2015,0.0967141,2024-02-25 19:37:56
"106","EJ","Reference","Africa_Eastern","f hydro",2020,0.124544,2024-02-25 19:37:56
"107","EJ","Reference","Africa_Eastern","f hydro",2025,0.152375,2024-02-25 19:37:56
"108","EJ","Reference","Africa_Eastern","f hydro",2030,0.180205,2024-02-25 19:37:56
"109","EJ","Reference","Africa_Eastern","f hydro",2035,0.208035,2024-02-25 19:37:56
"110","EJ","Reference","Africa_Eastern","f hydro",2040,0.235866,2024-02-25 19:37:56
"111","EJ","Reference","Africa_Eastern","f hydro",2045,0.263696,2024-02-25 19:37:56
"112","EJ","Reference","Africa_Eastern","f hydro",2050,0.291526,2024-02-25 19:37:56
"113","EJ","Reference","Africa_Eastern","f hydro",2055,0.319356,2024-02-25 19:37:56
"114","EJ","Reference","Africa_Eastern","f hydro",2060,0.347187,2024-02-25 19:37:56
"115","EJ","Reference","Africa_Eastern","f hydro",2065,0.375017,2024-02-25 19:37:56
"116","EJ","Reference","Africa_Eastern","f hydro",2070,0.402847,2024-02-25 19:37:56
