"","Units","scenario","region","fuel","year","value","rundate"
"1","EJ","Reference","Africa_Eastern","a oil",2005,0.581279,2024-02-05 15:57:01
"2","EJ","Reference","Africa_Eastern","a oil",2010,0.811771,2024-02-05 15:57:01
"3","EJ","Reference","Africa_Eastern","a oil",2015,0.985284,2024-02-05 15:57:01
"4","EJ","Reference","Africa_Eastern","a oil",2020,1.2462,2024-02-05 15:57:01
"5","EJ","Reference","Africa_Eastern","a oil",2025,1.34459,2024-02-05 15:57:01
"6","EJ","Reference","Africa_Eastern","a oil",2030,1.38521,2024-02-05 15:57:01
"7","EJ","Reference","Africa_Eastern","a oil",2035,1.39586,2024-02-05 15:57:01
"8","EJ","Reference","Africa_Eastern","a oil",2040,1.33453,2024-02-05 15:57:01
"9","EJ","Reference","Africa_Eastern","a oil",2045,1.18548,2024-02-05 15:57:01
"10","EJ","Reference","Africa_Eastern","a oil",2050,1.04778,2024-02-05 15:57:01
"11","EJ","Reference","Africa_Eastern","a oil",2055,0.945329,2024-02-05 15:57:01
"12","EJ","Reference","Africa_Eastern","a oil",2060,0.876702,2024-02-05 15:57:01
"13","EJ","Reference","Africa_Eastern","a oil",2065,0.803684,2024-02-05 15:57:01
"14","EJ","Reference","Africa_Eastern","a oil",2070,0.754663,2024-02-05 15:57:01
"15","EJ","Reference","Africa_Eastern","a oil",2075,0.712283,2024-02-05 15:57:01
"16","EJ","Reference","Africa_Eastern","a oil",2080,0.64956,2024-02-05 15:57:01
"17","EJ","Reference","Africa_Eastern","a oil",2085,0.583497,2024-02-05 15:57:01
"18","EJ","Reference","Africa_Eastern","a oil",2090,0.53134,2024-02-05 15:57:01
"19","EJ","Reference","Africa_Eastern","a oil",2095,0.495981,2024-02-05 15:57:01
"20","EJ","Reference","Africa_Eastern","a oil",2100,0.47358,2024-02-05 15:57:01
"21","EJ","Reference","Africa_Eastern","b natural gas",2005,0.0380846,2024-02-05 15:57:01
"22","EJ","Reference","Africa_Eastern","b natural gas",2010,0.0393054,2024-02-05 15:57:01
"23","EJ","Reference","Africa_Eastern","b natural gas",2015,0.0424984,2024-02-05 15:57:01
"24","EJ","Reference","Africa_Eastern","b natural gas",2020,0.0624752,2024-02-05 15:57:01
"25","EJ","Reference","Africa_Eastern","b natural gas",2025,0.0940336,2024-02-05 15:57:01
"26","EJ","Reference","Africa_Eastern","b natural gas",2030,0.1354079,2024-02-05 15:57:01
"27","EJ","Reference","Africa_Eastern","b natural gas",2035,0.1802852,2024-02-05 15:57:01
"28","EJ","Reference","Africa_Eastern","b natural gas",2040,0.2344015,2024-02-05 15:57:01
"29","EJ","Reference","Africa_Eastern","b natural gas",2045,0.2943415,2024-02-05 15:57:01
"30","EJ","Reference","Africa_Eastern","b natural gas",2050,0.34141629,2024-02-05 15:57:01
"31","EJ","Reference","Africa_Eastern","b natural gas",2055,0.38090282,2024-02-05 15:57:01
"32","EJ","Reference","Africa_Eastern","b natural gas",2060,0.4098666,2024-02-05 15:57:01
"33","EJ","Reference","Africa_Eastern","b natural gas",2065,0.4198871,2024-02-05 15:57:01
"34","EJ","Reference","Africa_Eastern","b natural gas",2070,0.414095,2024-02-05 15:57:01
"35","EJ","Reference","Africa_Eastern","b natural gas",2075,0.4008418,2024-02-05 15:57:01
"36","EJ","Reference","Africa_Eastern","b natural gas",2080,0.3813029,2024-02-05 15:57:01
"37","EJ","Reference","Africa_Eastern","b natural gas",2085,0.3569716,2024-02-05 15:57:01
"38","EJ","Reference","Africa_Eastern","b natural gas",2090,0.3306358,2024-02-05 15:57:01
"39","EJ","Reference","Africa_Eastern","b natural gas",2095,0.3123813,2024-02-05 15:57:01
"40","EJ","Reference","Africa_Eastern","b natural gas",2100,0.3005486,2024-02-05 15:57:01
"41","EJ","Reference","Africa_Eastern","c coal",1975,0.00202275,2024-02-05 15:57:01
"42","EJ","Reference","Africa_Eastern","c coal",1990,0.00259314,2024-02-05 15:57:01
"43","EJ","Reference","Africa_Eastern","c coal",2005,0.00614678,2024-02-05 15:57:01
"44","EJ","Reference","Africa_Eastern","c coal",2010,0.00321168,2024-02-05 15:57:01
"45","EJ","Reference","Africa_Eastern","c coal",2015,0.00245694,2024-02-05 15:57:01
"46","EJ","Reference","Africa_Eastern","c coal",2020,0.00548634,2024-02-05 15:57:01
"47","EJ","Reference","Africa_Eastern","c coal",2025,0.00718657,2024-02-05 15:57:01
"48","EJ","Reference","Africa_Eastern","c coal",2030,0.00874542,2024-02-05 15:57:01
"49","EJ","Reference","Africa_Eastern","c coal",2035,0.0095752,2024-02-05 15:57:01
"50","EJ","Reference","Africa_Eastern","c coal",2040,0.0108931,2024-02-05 15:57:01
"51","EJ","Reference","Africa_Eastern","c coal",2045,0.012991,2024-02-05 15:57:01
"52","EJ","Reference","Africa_Eastern","c coal",2050,0.0155634,2024-02-05 15:57:01
"53","EJ","Reference","Africa_Eastern","c coal",2055,0.0186041,2024-02-05 15:57:01
"54","EJ","Reference","Africa_Eastern","c coal",2060,0.0213523,2024-02-05 15:57:01
"55","EJ","Reference","Africa_Eastern","c coal",2065,0.0239142,2024-02-05 15:57:01
"56","EJ","Reference","Africa_Eastern","c coal",2070,0.0272214,2024-02-05 15:57:01
"57","EJ","Reference","Africa_Eastern","c coal",2075,0.0320487,2024-02-05 15:57:01
"58","EJ","Reference","Africa_Eastern","c coal",2080,0.0366378,2024-02-05 15:57:01
"59","EJ","Reference","Africa_Eastern","c coal",2085,0.0420801,2024-02-05 15:57:01
"60","EJ","Reference","Africa_Eastern","c coal",2090,0.048391,2024-02-05 15:57:01
"61","EJ","Reference","Africa_Eastern","c coal",2095,0.0551185,2024-02-05 15:57:01
"62","EJ","Reference","Africa_Eastern","c coal",2100,0.062277,2024-02-05 15:57:01
"63","EJ","Reference","Africa_Eastern","d biomass",1975,0.282644,2024-02-05 15:57:01
"64","EJ","Reference","Africa_Eastern","d biomass",1990,0.650748,2024-02-05 15:57:01
"65","EJ","Reference","Africa_Eastern","d biomass",2005,0.982977,2024-02-05 15:57:01
"66","EJ","Reference","Africa_Eastern","d biomass",2010,1.078565593,2024-02-05 15:57:01
"67","EJ","Reference","Africa_Eastern","d biomass",2015,1.238177402,2024-02-05 15:57:01
"68","EJ","Reference","Africa_Eastern","d biomass",2020,1.3841041192658,2024-02-05 15:57:01
"69","EJ","Reference","Africa_Eastern","d biomass",2025,1.9104714257151,2024-02-05 15:57:01
"70","EJ","Reference","Africa_Eastern","d biomass",2030,2.4597261744741,2024-02-05 15:57:01
"71","EJ","Reference","Africa_Eastern","d biomass",2035,2.9495700847501,2024-02-05 15:57:01
"72","EJ","Reference","Africa_Eastern","d biomass",2040,3.4506665667617,2024-02-05 15:57:01
"73","EJ","Reference","Africa_Eastern","d biomass",2045,4.0565613727803,2024-02-05 15:57:01
"74","EJ","Reference","Africa_Eastern","d biomass",2050,4.7113644107769,2024-02-05 15:57:01
"75","EJ","Reference","Africa_Eastern","d biomass",2055,5.33082327105573,2024-02-05 15:57:01
"76","EJ","Reference","Africa_Eastern","d biomass",2060,5.89394209601548,2024-02-05 15:57:01
"77","EJ","Reference","Africa_Eastern","d biomass",2065,6.42539093460096,2024-02-05 15:57:01
"78","EJ","Reference","Africa_Eastern","d biomass",2070,6.92581862282091,2024-02-05 15:57:01
"79","EJ","Reference","Africa_Eastern","d biomass",2075,7.3659366409784,2024-02-05 15:57:01
"80","EJ","Reference","Africa_Eastern","d biomass",2080,7.7512754743845,2024-02-05 15:57:01
"81","EJ","Reference","Africa_Eastern","d biomass",2085,8.085075894992,2024-02-05 15:57:01
"82","EJ","Reference","Africa_Eastern","d biomass",2090,8.369002568051,2024-02-05 15:57:01
"83","EJ","Reference","Africa_Eastern","d biomass",2095,8.626165833654,2024-02-05 15:57:01
"84","EJ","Reference","Africa_Eastern","d biomass",2100,8.867760673927,2024-02-05 15:57:01
"85","EJ","Reference","Africa_Eastern","e nuclear",2020,0.0011409876,2024-02-05 15:57:01
"86","EJ","Reference","Africa_Eastern","e nuclear",2025,0.01109615027,2024-02-05 15:57:01
"87","EJ","Reference","Africa_Eastern","e nuclear",2030,0.034261928,2024-02-05 15:57:01
"88","EJ","Reference","Africa_Eastern","e nuclear",2035,0.0631283294,2024-02-05 15:57:01
"89","EJ","Reference","Africa_Eastern","e nuclear",2040,0.10265549591,2024-02-05 15:57:01
"90","EJ","Reference","Africa_Eastern","e nuclear",2045,0.15252142196,2024-02-05 15:57:01
"91","EJ","Reference","Africa_Eastern","e nuclear",2050,0.20848728518,2024-02-05 15:57:01
"92","EJ","Reference","Africa_Eastern","e nuclear",2055,0.27166090972,2024-02-05 15:57:01
"93","EJ","Reference","Africa_Eastern","e nuclear",2060,0.33845269182,2024-02-05 15:57:01
"94","EJ","Reference","Africa_Eastern","e nuclear",2065,0.40819497275,2024-02-05 15:57:01
"95","EJ","Reference","Africa_Eastern","e nuclear",2070,0.48349814342,2024-02-05 15:57:01
"96","EJ","Reference","Africa_Eastern","e nuclear",2075,0.55543348608,2024-02-05 15:57:01
"97","EJ","Reference","Africa_Eastern","e nuclear",2080,0.62556653772,2024-02-05 15:57:01
"98","EJ","Reference","Africa_Eastern","e nuclear",2085,0.6896974322,2024-02-05 15:57:01
"99","EJ","Reference","Africa_Eastern","e nuclear",2090,0.7423140661,2024-02-05 15:57:01
"100","EJ","Reference","Africa_Eastern","e nuclear",2095,0.7908409613,2024-02-05 15:57:01
"101","EJ","Reference","Africa_Eastern","e nuclear",2100,0.8325991215,2024-02-05 15:57:01
"102","EJ","Reference","Africa_Eastern","f hydro",1990,0.0220885,2024-02-05 15:57:01
"103","EJ","Reference","Africa_Eastern","f hydro",2005,0.0372506,2024-02-05 15:57:01
"104","EJ","Reference","Africa_Eastern","f hydro",2010,0.0651303,2024-02-05 15:57:01
"105","EJ","Reference","Africa_Eastern","f hydro",2015,0.0967141,2024-02-05 15:57:01
"106","EJ","Reference","Africa_Eastern","f hydro",2020,0.124544,2024-02-05 15:57:01
"107","EJ","Reference","Africa_Eastern","f hydro",2025,0.152375,2024-02-05 15:57:01
"108","EJ","Reference","Africa_Eastern","f hydro",2030,0.180205,2024-02-05 15:57:01
