"","Units","scenario","region","subresource","year","value","rundate"
"1","km^3","Reference","Africa_Eastern","groundwater grade hist",1975,0,2024-02-05 14:02:39
"2","km^3","Reference","Africa_Eastern","groundwater grade hist",1990,0,2024-02-05 14:02:39
"3","km^3","Reference","Africa_Eastern","groundwater grade hist",2005,0,2024-02-05 14:02:39
"4","km^3","Reference","Africa_Eastern","groundwater grade hist",2010,1.93182e-05,2024-02-05 14:02:39
"5","km^3","Reference","Africa_Eastern","groundwater grade hist",2015,0.08793662172,2024-02-05 14:02:39
"6","km^3","Reference","Africa_Eastern","groundwater grade hist",2020,0.093221681,2024-02-05 14:02:39
"7","km^3","Reference","Africa_Eastern","groundwater grade hist",2025,0.0031543777,2024-02-05 14:02:39
"8","km^3","Reference","Africa_Eastern","groundwater grade hist",2030,0,2024-02-05 14:02:39
"9","km^3","Reference","Africa_Eastern","groundwater grade hist",2035,0,2024-02-05 14:02:39
"10","km^3","Reference","Africa_Eastern","groundwater grade hist",2040,0,2024-02-05 14:02:39
"11","km^3","Reference","Africa_Eastern","groundwater grade hist",2045,0,2024-02-05 14:02:39
"12","km^3","Reference","Africa_Eastern","groundwater grade hist",2050,0,2024-02-05 14:02:39
"13","km^3","Reference","Africa_Eastern","groundwater grade hist",2055,0,2024-02-05 14:02:39
"14","km^3","Reference","Africa_Eastern","groundwater grade hist",2060,0,2024-02-05 14:02:39
"15","km^3","Reference","Africa_Eastern","groundwater grade hist",2065,0,2024-02-05 14:02:39
"16","km^3","Reference","Africa_Eastern","groundwater grade hist",2070,0,2024-02-05 14:02:39
"17","km^3","Reference","Africa_Eastern","groundwater grade hist",2075,0,2024-02-05 14:02:39
"18","km^3","Reference","Africa_Eastern","groundwater grade hist",2080,0,2024-02-05 14:02:39
"19","km^3","Reference","Africa_Eastern","groundwater grade hist",2085,0,2024-02-05 14:02:39
"20","km^3","Reference","Africa_Eastern","groundwater grade hist",2090,0,2024-02-05 14:02:39
"21","km^3","Reference","Africa_Eastern","groundwater grade hist",2095,0,2024-02-05 14:02:39
"22","km^3","Reference","Africa_Eastern","groundwater grade hist",2100,0,2024-02-05 14:02:39
"23","km^3","Reference","Africa_Eastern","groundwater grade1",1975,0,2024-02-05 14:02:39
"24","km^3","Reference","Africa_Eastern","groundwater grade1",1990,0,2024-02-05 14:02:39
"25","km^3","Reference","Africa_Eastern","groundwater grade1",2005,0,2024-02-05 14:02:39
"26","km^3","Reference","Africa_Eastern","groundwater grade1",2010,0,2024-02-05 14:02:39
"27","km^3","Reference","Africa_Eastern","groundwater grade1",2015,0,2024-02-05 14:02:39
"28","km^3","Reference","Africa_Eastern","groundwater grade1",2020,0,2024-02-05 14:02:39
"29","km^3","Reference","Africa_Eastern","groundwater grade1",2025,5.69714,2024-02-05 14:02:39
"30","km^3","Reference","Africa_Eastern","groundwater grade1",2030,16.1997,2024-02-05 14:02:39
