"","Units","scenario","region","fuel","year","value","rundate"
"1","EJ","Reference","Africa_Eastern","a oil",2005,0.581279,2024-02-05 14:02:39
"2","EJ","Reference","Africa_Eastern","a oil",2010,0.811771,2024-02-05 14:02:39
"3","EJ","Reference","Africa_Eastern","a oil",2015,0.985284,2024-02-05 14:02:39
"4","EJ","Reference","Africa_Eastern","a oil",2020,1.24583,2024-02-05 14:02:39
"5","EJ","Reference","Africa_Eastern","a oil",2025,1.34733,2024-02-05 14:02:39
"6","EJ","Reference","Africa_Eastern","a oil",2030,1.39164,2024-02-05 14:02:39
"7","EJ","Reference","Africa_Eastern","a oil",2035,1.40676,2024-02-05 14:02:39
"8","EJ","Reference","Africa_Eastern","a oil",2040,1.36192,2024-02-05 14:02:39
"9","EJ","Reference","Africa_Eastern","a oil",2045,1.23524,2024-02-05 14:02:39
"10","EJ","Reference","Africa_Eastern","a oil",2050,1.10637,2024-02-05 14:02:39
"11","EJ","Reference","Africa_Eastern","a oil",2055,0.992822,2024-02-05 14:02:39
"12","EJ","Reference","Africa_Eastern","a oil",2060,0.935226,2024-02-05 14:02:39
"13","EJ","Reference","Africa_Eastern","a oil",2065,0.873331,2024-02-05 14:02:39
"14","EJ","Reference","Africa_Eastern","a oil",2070,0.828436,2024-02-05 14:02:39
"15","EJ","Reference","Africa_Eastern","a oil",2075,0.789441,2024-02-05 14:02:39
"16","EJ","Reference","Africa_Eastern","a oil",2080,0.722843,2024-02-05 14:02:39
"17","EJ","Reference","Africa_Eastern","a oil",2085,0.655796,2024-02-05 14:02:39
"18","EJ","Reference","Africa_Eastern","a oil",2090,0.606206,2024-02-05 14:02:39
"19","EJ","Reference","Africa_Eastern","a oil",2095,0.572079,2024-02-05 14:02:39
"20","EJ","Reference","Africa_Eastern","a oil",2100,0.52284,2024-02-05 14:02:39
"21","EJ","Reference","Africa_Eastern","b natural gas",2005,0.0380846,2024-02-05 14:02:39
"22","EJ","Reference","Africa_Eastern","b natural gas",2010,0.0393054,2024-02-05 14:02:39
"23","EJ","Reference","Africa_Eastern","b natural gas",2015,0.0424984,2024-02-05 14:02:39
"24","EJ","Reference","Africa_Eastern","b natural gas",2020,0.0624605,2024-02-05 14:02:39
"25","EJ","Reference","Africa_Eastern","b natural gas",2025,0.0949959,2024-02-05 14:02:39
"26","EJ","Reference","Africa_Eastern","b natural gas",2030,0.1405348,2024-02-05 14:02:39
"27","EJ","Reference","Africa_Eastern","b natural gas",2035,0.1949979,2024-02-05 14:02:39
"28","EJ","Reference","Africa_Eastern","b natural gas",2040,0.2634542,2024-02-05 14:02:39
"29","EJ","Reference","Africa_Eastern","b natural gas",2045,0.33683638,2024-02-05 14:02:39
"30","EJ","Reference","Africa_Eastern","b natural gas",2050,0.39617193,2024-02-05 14:02:39
"31","EJ","Reference","Africa_Eastern","b natural gas",2055,0.44501857,2024-02-05 14:02:39
"32","EJ","Reference","Africa_Eastern","b natural gas",2060,0.4787392,2024-02-05 14:02:39
"33","EJ","Reference","Africa_Eastern","b natural gas",2065,0.4885284,2024-02-05 14:02:39
"34","EJ","Reference","Africa_Eastern","b natural gas",2070,0.4792294,2024-02-05 14:02:39
"35","EJ","Reference","Africa_Eastern","b natural gas",2075,0.462592,2024-02-05 14:02:39
"36","EJ","Reference","Africa_Eastern","b natural gas",2080,0.4365376,2024-02-05 14:02:39
"37","EJ","Reference","Africa_Eastern","b natural gas",2085,0.4052222,2024-02-05 14:02:39
"38","EJ","Reference","Africa_Eastern","b natural gas",2090,0.3723826,2024-02-05 14:02:39
"39","EJ","Reference","Africa_Eastern","b natural gas",2095,0.3455878,2024-02-05 14:02:39
"40","EJ","Reference","Africa_Eastern","b natural gas",2100,0.3305553,2024-02-05 14:02:39
"41","EJ","Reference","Africa_Eastern","c coal",1975,0.00202275,2024-02-05 14:02:39
"42","EJ","Reference","Africa_Eastern","c coal",1990,0.00259314,2024-02-05 14:02:39
"43","EJ","Reference","Africa_Eastern","c coal",2005,0.00614678,2024-02-05 14:02:39
"44","EJ","Reference","Africa_Eastern","c coal",2010,0.00321168,2024-02-05 14:02:39
"45","EJ","Reference","Africa_Eastern","c coal",2015,0.00245694,2024-02-05 14:02:39
"46","EJ","Reference","Africa_Eastern","c coal",2020,0.00548166,2024-02-05 14:02:39
"47","EJ","Reference","Africa_Eastern","c coal",2025,0.00721117,2024-02-05 14:02:39
"48","EJ","Reference","Africa_Eastern","c coal",2030,0.00882891,2024-02-05 14:02:39
"49","EJ","Reference","Africa_Eastern","c coal",2035,0.00981509,2024-02-05 14:02:39
"50","EJ","Reference","Africa_Eastern","c coal",2040,0.0113828,2024-02-05 14:02:39
"51","EJ","Reference","Africa_Eastern","c coal",2045,0.0137322,2024-02-05 14:02:39
"52","EJ","Reference","Africa_Eastern","c coal",2050,0.0166763,2024-02-05 14:02:39
"53","EJ","Reference","Africa_Eastern","c coal",2055,0.0201208,2024-02-05 14:02:39
"54","EJ","Reference","Africa_Eastern","c coal",2060,0.0233401,2024-02-05 14:02:39
"55","EJ","Reference","Africa_Eastern","c coal",2065,0.0263655,2024-02-05 14:02:39
"56","EJ","Reference","Africa_Eastern","c coal",2070,0.0318795,2024-02-05 14:02:39
"57","EJ","Reference","Africa_Eastern","c coal",2075,0.0377092,2024-02-05 14:02:39
"58","EJ","Reference","Africa_Eastern","c coal",2080,0.0439387,2024-02-05 14:02:39
"59","EJ","Reference","Africa_Eastern","c coal",2085,0.0512655,2024-02-05 14:02:39
"60","EJ","Reference","Africa_Eastern","c coal",2090,0.0590254,2024-02-05 14:02:39
"61","EJ","Reference","Africa_Eastern","c coal",2095,0.0675339,2024-02-05 14:02:39
"62","EJ","Reference","Africa_Eastern","c coal",2100,0.0765638,2024-02-05 14:02:39
"63","EJ","Reference","Africa_Eastern","d biomass",1975,0.282644,2024-02-05 14:02:39
"64","EJ","Reference","Africa_Eastern","d biomass",1990,0.650748,2024-02-05 14:02:39
"65","EJ","Reference","Africa_Eastern","d biomass",2005,0.982977,2024-02-05 14:02:39
"66","EJ","Reference","Africa_Eastern","d biomass",2010,1.078565593,2024-02-05 14:02:39
"67","EJ","Reference","Africa_Eastern","d biomass",2015,1.238177402,2024-02-05 14:02:39
