"","Units","scenario","region","subresource","year","value","rundate"
"55","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2045,0,2024-03-11 09:44:58
"56","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2050,0,2024-03-11 09:44:58
"57","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2055,0,2024-03-11 09:44:58
"58","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2060,0,2024-03-11 09:44:58
"59","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2065,0,2024-03-11 09:44:58
"60","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2070,0,2024-03-11 09:44:58
"61","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2075,0,2024-03-11 09:44:58
"62","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2080,0,2024-03-11 09:44:58
"63","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2085,0,2024-03-11 09:44:58
"64","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2090,3.29444,2024-03-11 09:44:58
"65","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2095,16.9106,2024-03-11 09:44:58
"66","km^3","PolicyReference","Africa_Eastern","groundwater grade10",2100,0,2024-03-11 09:44:58
"67","km^3","PolicyReference","Africa_Eastern","groundwater grade11",1975,0,2024-03-11 09:44:58
"68","km^3","PolicyReference","Africa_Eastern","groundwater grade11",1990,0,2024-03-11 09:44:58
"69","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2005,0,2024-03-11 09:44:58
"70","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2010,0,2024-03-11 09:44:58
"71","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2015,0,2024-03-11 09:44:58
"72","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2020,0,2024-03-11 09:44:58
"73","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2025,0,2024-03-11 09:44:58
"74","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2030,0,2024-03-11 09:44:58
"75","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2035,0,2024-03-11 09:44:58
"76","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2040,0,2024-03-11 09:44:58
"77","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2045,0,2024-03-11 09:44:58
"78","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2050,0,2024-03-11 09:44:58
"79","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2055,0,2024-03-11 09:44:58
"80","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2060,0,2024-03-11 09:44:58
"81","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2065,0,2024-03-11 09:44:58
"82","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2070,0,2024-03-11 09:44:58
"83","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2075,0,2024-03-11 09:44:58
"84","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2080,0,2024-03-11 09:44:58
"85","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2085,0,2024-03-11 09:44:58
"86","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2090,0,2024-03-11 09:44:58
"87","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2095,15.6574,2024-03-11 09:44:58
"88","km^3","PolicyReference","Africa_Eastern","groundwater grade11",2100,4.88189,2024-03-11 09:44:58
"89","km^3","PolicyReference","Africa_Eastern","groundwater grade12",1975,0,2024-03-11 09:44:58
"90","km^3","PolicyReference","Africa_Eastern","groundwater grade12",1990,0,2024-03-11 09:44:58
"91","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2005,0,2024-03-11 09:44:58
"92","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2010,0,2024-03-11 09:44:58
"93","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2015,0,2024-03-11 09:44:58
"94","km^3","PolicyReference","Africa_Eastern","groundwater grade12",2020,0,2024-03-11 09:44:58
