"","Units","scenario","region","year","value","rundate"
"1","thous","Reference","Africa_Eastern",1975,91890,2024-02-05 11:54:21
"2","thous","Reference","Africa_Eastern",1990,145593,2024-02-05 11:54:21
"3","thous","Reference","Africa_Eastern",2005,222829,2024-02-05 11:54:21
"4","thous","Reference","Africa_Eastern",2010,255333,2024-02-05 11:54:21
"5","thous","Reference","Africa_Eastern",2015,292560,2024-02-05 11:54:21
"6","thous","Reference","Africa_Eastern",2020,322971,2024-02-05 11:54:21
"7","thous","Reference","Africa_Eastern",2025,352155,2024-02-05 11:54:21
"8","thous","Reference","Africa_Eastern",2030,378993,2024-02-05 11:54:21
"9","thous","Reference","Africa_Eastern",2035,404213,2024-02-05 11:54:21
"10","thous","Reference","Africa_Eastern",2040,426994,2024-02-05 11:54:21
"11","thous","Reference","Africa_Eastern",2045,446701,2024-02-05 11:54:21
"12","thous","Reference","Africa_Eastern",2050,463121,2024-02-05 11:54:21
"13","thous","Reference","Africa_Eastern",2055,476514,2024-02-05 11:54:21
"14","thous","Reference","Africa_Eastern",2060,486985,2024-02-05 11:54:21
"15","thous","Reference","Africa_Eastern",2065,494785,2024-02-05 11:54:21
"16","thous","Reference","Africa_Eastern",2070,499820,2024-02-05 11:54:21
"17","thous","Reference","Africa_Eastern",2075,501994,2024-02-05 11:54:21
"18","thous","Reference","Africa_Eastern",2080,501397,2024-02-05 11:54:21
"19","thous","Reference","Africa_Eastern",2085,498158,2024-02-05 11:54:21
"20","thous","Reference","Africa_Eastern",2090,492415,2024-02-05 11:54:21
"21","thous","Reference","Africa_Eastern",2095,484373,2024-02-05 11:54:21
"22","thous","Reference","Africa_Eastern",2100,474261,2024-02-05 11:54:21
"23","thous","Reference","Africa_Northern",1975,81330,2024-02-05 11:54:21
"24","thous","Reference","Africa_Northern",1990,119597,2024-02-05 11:54:21
"25","thous","Reference","Africa_Northern",2005,155472,2024-02-05 11:54:21
"26","thous","Reference","Africa_Northern",2010,168395,2024-02-05 11:54:21
"27","thous","Reference","Africa_Northern",2015,184959,2024-02-05 11:54:21
"28","thous","Reference","Africa_Northern",2020,195092,2024-02-05 11:54:21
"29","thous","Reference","Africa_Northern",2025,203369,2024-02-05 11:54:21
"30","thous","Reference","Africa_Northern",2030,209793,2024-02-05 11:54:21
"31","thous","Reference","Africa_Northern",2035,215115,2024-02-05 11:54:21
"32","thous","Reference","Africa_Northern",2040,219304,2024-02-05 11:54:21
"33","thous","Reference","Africa_Northern",2045,222143,2024-02-05 11:54:21
"34","thous","Reference","Africa_Northern",2050,223442,2024-02-05 11:54:21
"35","thous","Reference","Africa_Northern",2055,223327,2024-02-05 11:54:21
"36","thous","Reference","Africa_Northern",2060,221896,2024-02-05 11:54:21
"37","thous","Reference","Africa_Northern",2065,219412,2024-02-05 11:54:21
"38","thous","Reference","Africa_Northern",2070,215919,2024-02-05 11:54:21
"39","thous","Reference","Africa_Northern",2075,211434,2024-02-05 11:54:21
"40","thous","Reference","Africa_Northern",2080,206045,2024-02-05 11:54:21
"41","thous","Reference","Africa_Northern",2085,199908,2024-02-05 11:54:21
"42","thous","Reference","Africa_Northern",2090,193266,2024-02-05 11:54:21
"43","thous","Reference","Africa_Northern",2095,186231,2024-02-05 11:54:21
"44","thous","Reference","Africa_Northern",2100,178453,2024-02-05 11:54:21
"45","thous","Reference","Africa_Southern",1975,53046,2024-02-05 11:54:21
