"","Units","scenario","region","year","value","rundate"
"1","thous","Reference","Africa_Eastern",1975,91890,2024-02-05 15:57:01
"2","thous","Reference","Africa_Eastern",1990,145593,2024-02-05 15:57:01
"3","thous","Reference","Africa_Eastern",2005,222829,2024-02-05 15:57:01
"4","thous","Reference","Africa_Eastern",2010,255333,2024-02-05 15:57:01
"5","thous","Reference","Africa_Eastern",2015,292560,2024-02-05 15:57:01
"6","thous","Reference","Africa_Eastern",2020,332265,2024-02-05 15:57:01
"7","thous","Reference","Africa_Eastern",2025,375232,2024-02-05 15:57:01
"8","thous","Reference","Africa_Eastern",2030,421086,2024-02-05 15:57:01
"9","thous","Reference","Africa_Eastern",2035,467451,2024-02-05 15:57:01
"10","thous","Reference","Africa_Eastern",2040,514766,2024-02-05 15:57:01
"11","thous","Reference","Africa_Eastern",2045,563171,2024-02-05 15:57:01
"12","thous","Reference","Africa_Eastern",2050,612612,2024-02-05 15:57:01
"13","thous","Reference","Africa_Eastern",2055,660908,2024-02-05 15:57:01
"14","thous","Reference","Africa_Eastern",2060,707670,2024-02-05 15:57:01
"15","thous","Reference","Africa_Eastern",2065,752635,2024-02-05 15:57:01
"16","thous","Reference","Africa_Eastern",2070,796337,2024-02-05 15:57:01
"17","thous","Reference","Africa_Eastern",2075,838977,2024-02-05 15:57:01
"18","thous","Reference","Africa_Eastern",2080,880261,2024-02-05 15:57:01
"19","thous","Reference","Africa_Eastern",2085,919479,2024-02-05 15:57:01
"20","thous","Reference","Africa_Eastern",2090,956430,2024-02-05 15:57:01
"21","thous","Reference","Africa_Eastern",2095,991400,2024-02-05 15:57:01
"22","thous","Reference","Africa_Eastern",2100,1024260,2024-02-05 15:57:01
"23","thous","Reference","Africa_Northern",1975,81330,2024-02-05 15:57:01
"24","thous","Reference","Africa_Northern",1990,119597,2024-02-05 15:57:01
"25","thous","Reference","Africa_Northern",2005,155472,2024-02-05 15:57:01
"26","thous","Reference","Africa_Northern",2010,168395,2024-02-05 15:57:01
"27","thous","Reference","Africa_Northern",2015,184959,2024-02-05 15:57:01
"28","thous","Reference","Africa_Northern",2020,195450,2024-02-05 15:57:01
"29","thous","Reference","Africa_Northern",2025,204090,2024-02-05 15:57:01
"30","thous","Reference","Africa_Northern",2030,210774,2024-02-05 15:57:01
"31","thous","Reference","Africa_Northern",2035,216186,2024-02-05 15:57:01
"32","thous","Reference","Africa_Northern",2040,220312,2024-02-05 15:57:01
"33","thous","Reference","Africa_Northern",2045,222986,2024-02-05 15:57:01
"34","thous","Reference","Africa_Northern",2050,224002,2024-02-05 15:57:01
"35","thous","Reference","Africa_Northern",2055,223460,2024-02-05 15:57:01
"36","thous","Reference","Africa_Northern",2060,221363,2024-02-05 15:57:01
"37","thous","Reference","Africa_Northern",2065,217938,2024-02-05 15:57:01
"38","thous","Reference","Africa_Northern",2070,213314,2024-02-05 15:57:01
