"","Units","scenario","region","subresource","year","value","rundate"
"1","km^3","Reference","Africa_Eastern","groundwater grade hist",1975,0,2024-02-05 15:57:01
"2","km^3","Reference","Africa_Eastern","groundwater grade hist",1990,0,2024-02-05 15:57:01
"3","km^3","Reference","Africa_Eastern","groundwater grade hist",2005,0,2024-02-05 15:57:01
"4","km^3","Reference","Africa_Eastern","groundwater grade hist",2010,1.93182e-05,2024-02-05 15:57:01
"5","km^3","Reference","Africa_Eastern","groundwater grade hist",2015,0.08793662172,2024-02-05 15:57:01
"6","km^3","Reference","Africa_Eastern","groundwater grade hist",2020,0.093028647,2024-02-05 15:57:01
"7","km^3","Reference","Africa_Eastern","groundwater grade hist",2025,0.0033474109,2024-02-05 15:57:01
"8","km^3","Reference","Africa_Eastern","groundwater grade hist",2030,0,2024-02-05 15:57:01
"9","km^3","Reference","Africa_Eastern","groundwater grade hist",2035,0,2024-02-05 15:57:01
"10","km^3","Reference","Africa_Eastern","groundwater grade hist",2040,0,2024-02-05 15:57:01
"11","km^3","Reference","Africa_Eastern","groundwater grade hist",2045,0,2024-02-05 15:57:01
"12","km^3","Reference","Africa_Eastern","groundwater grade hist",2050,0,2024-02-05 15:57:01
"13","km^3","Reference","Africa_Eastern","groundwater grade hist",2055,0,2024-02-05 15:57:01
"14","km^3","Reference","Africa_Eastern","groundwater grade hist",2060,0,2024-02-05 15:57:01
"15","km^3","Reference","Africa_Eastern","groundwater grade hist",2065,0,2024-02-05 15:57:01
"16","km^3","Reference","Africa_Eastern","groundwater grade hist",2070,0,2024-02-05 15:57:01
"17","km^3","Reference","Africa_Eastern","groundwater grade hist",2075,0,2024-02-05 15:57:01
"18","km^3","Reference","Africa_Eastern","groundwater grade hist",2080,0,2024-02-05 15:57:01
"19","km^3","Reference","Africa_Eastern","groundwater grade hist",2085,0,2024-02-05 15:57:01
"20","km^3","Reference","Africa_Eastern","groundwater grade hist",2090,0,2024-02-05 15:57:01
"21","km^3","Reference","Africa_Eastern","groundwater grade hist",2095,0,2024-02-05 15:57:01
"22","km^3","Reference","Africa_Eastern","groundwater grade hist",2100,0,2024-02-05 15:57:01
"23","km^3","Reference","Africa_Eastern","groundwater grade1",1975,0,2024-02-05 15:57:01
"24","km^3","Reference","Africa_Eastern","groundwater grade1",1990,0,2024-02-05 15:57:01
"25","km^3","Reference","Africa_Eastern","groundwater grade1",2005,0,2024-02-05 15:57:01
"26","km^3","Reference","Africa_Eastern","groundwater grade1",2010,0,2024-02-05 15:57:01
"27","km^3","Reference","Africa_Eastern","groundwater grade1",2015,0,2024-02-05 15:57:01
"28","km^3","Reference","Africa_Eastern","groundwater grade1",2020,0,2024-02-05 15:57:01
"29","km^3","Reference","Africa_Eastern","groundwater grade1",2025,3.51862,2024-02-05 15:57:01
"30","km^3","Reference","Africa_Eastern","groundwater grade1",2030,14.175,2024-02-05 15:57:01
"31","km^3","Reference","Africa_Eastern","groundwater grade1",2035,19.406,2024-02-05 15:57:01
"32","km^3","Reference","Africa_Eastern","groundwater grade1",2040,21.6352,2024-02-05 15:57:01
"33","km^3","Reference","Africa_Eastern","groundwater grade1",2045,12.9292,2024-02-05 15:57:01
"34","km^3","Reference","Africa_Eastern","groundwater grade1",2050,15.0638,2024-02-05 15:57:01
"35","km^3","Reference","Africa_Eastern","groundwater grade1",2055,17.269,2024-02-05 15:57:01
"36","km^3","Reference","Africa_Eastern","groundwater grade1",2060,5.46843,2024-02-05 15:57:01
"37","km^3","Reference","Africa_Eastern","groundwater grade1",2065,0.669421,2024-02-05 15:57:01
"38","km^3","Reference","Africa_Eastern","groundwater grade1",2070,1.464686,2024-02-05 15:57:01
"39","km^3","Reference","Africa_Eastern","groundwater grade1",2075,1.917853,2024-02-05 15:57:01
"40","km^3","Reference","Africa_Eastern","groundwater grade1",2080,2.27732,2024-02-05 15:57:01
"41","km^3","Reference","Africa_Eastern","groundwater grade1",2085,2.56887,2024-02-05 15:57:01
"42","km^3","Reference","Africa_Eastern","groundwater grade1",2090,2.79171,2024-02-05 15:57:01
"43","km^3","Reference","Africa_Eastern","groundwater grade1",2095,2.98149,2024-02-05 15:57:01
"44","km^3","Reference","Africa_Eastern","groundwater grade1",2100,3.17264,2024-02-05 15:57:01
"45","km^3","Reference","Africa_Eastern","groundwater grade10",1975,0,2024-02-05 15:57:01
"46","km^3","Reference","Africa_Eastern","groundwater grade10",1990,0,2024-02-05 15:57:01
"47","km^3","Reference","Africa_Eastern","groundwater grade10",2005,0,2024-02-05 15:57:01
"48","km^3","Reference","Africa_Eastern","groundwater grade10",2010,0,2024-02-05 15:57:01
"49","km^3","Reference","Africa_Eastern","groundwater grade10",2015,0,2024-02-05 15:57:01
"50","km^3","Reference","Africa_Eastern","groundwater grade10",2020,0,2024-02-05 15:57:01
"51","km^3","Reference","Africa_Eastern","groundwater grade10",2025,0,2024-02-05 15:57:01
"52","km^3","Reference","Africa_Eastern","groundwater grade10",2030,0,2024-02-05 15:57:01
"53","km^3","Reference","Africa_Eastern","groundwater grade10",2035,0,2024-02-05 15:57:01
"54","km^3","Reference","Africa_Eastern","groundwater grade10",2040,0,2024-02-05 15:57:01
"55","km^3","Reference","Africa_Eastern","groundwater grade10",2045,0,2024-02-05 15:57:01
"56","km^3","Reference","Africa_Eastern","groundwater grade10",2050,0,2024-02-05 15:57:01
"57","km^3","Reference","Africa_Eastern","groundwater grade10",2055,0,2024-02-05 15:57:01
"58","km^3","Reference","Africa_Eastern","groundwater grade10",2060,0,2024-02-05 15:57:01
"59","km^3","Reference","Africa_Eastern","groundwater grade10",2065,0,2024-02-05 15:57:01
"60","km^3","Reference","Africa_Eastern","groundwater grade10",2070,0,2024-02-05 15:57:01
"61","km^3","Reference","Africa_Eastern","groundwater grade10",2075,0,2024-02-05 15:57:01
"62","km^3","Reference","Africa_Eastern","groundwater grade10",2080,0,2024-02-05 15:57:01
"63","km^3","Reference","Africa_Eastern","groundwater grade10",2085,0,2024-02-05 15:57:01
"64","km^3","Reference","Africa_Eastern","groundwater grade10",2090,0,2024-02-05 15:57:01
"65","km^3","Reference","Africa_Eastern","groundwater grade10",2095,0,2024-02-05 15:57:01
"66","km^3","Reference","Africa_Eastern","groundwater grade10",2100,0,2024-02-05 15:57:01
"67","km^3","Reference","Africa_Eastern","groundwater grade11",1975,0,2024-02-05 15:57:01
"68","km^3","Reference","Africa_Eastern","groundwater grade11",1990,0,2024-02-05 15:57:01
"69","km^3","Reference","Africa_Eastern","groundwater grade11",2005,0,2024-02-05 15:57:01
"70","km^3","Reference","Africa_Eastern","groundwater grade11",2010,0,2024-02-05 15:57:01
"71","km^3","Reference","Africa_Eastern","groundwater grade11",2015,0,2024-02-05 15:57:01
"72","km^3","Reference","Africa_Eastern","groundwater grade11",2020,0,2024-02-05 15:57:01
"73","km^3","Reference","Africa_Eastern","groundwater grade11",2025,0,2024-02-05 15:57:01
"74","km^3","Reference","Africa_Eastern","groundwater grade11",2030,0,2024-02-05 15:57:01
"75","km^3","Reference","Africa_Eastern","groundwater grade11",2035,0,2024-02-05 15:57:01
"76","km^3","Reference","Africa_Eastern","groundwater grade11",2040,0,2024-02-05 15:57:01
"77","km^3","Reference","Africa_Eastern","groundwater grade11",2045,0,2024-02-05 15:57:01
"78","km^3","Reference","Africa_Eastern","groundwater grade11",2050,0,2024-02-05 15:57:01
"79","km^3","Reference","Africa_Eastern","groundwater grade11",2055,0,2024-02-05 15:57:01
"80","km^3","Reference","Africa_Eastern","groundwater grade11",2060,0,2024-02-05 15:57:01
"81","km^3","Reference","Africa_Eastern","groundwater grade11",2065,0,2024-02-05 15:57:01
"82","km^3","Reference","Africa_Eastern","groundwater grade11",2070,0,2024-02-05 15:57:01
"83","km^3","Reference","Africa_Eastern","groundwater grade11",2075,0,2024-02-05 15:57:01
"84","km^3","Reference","Africa_Eastern","groundwater grade11",2080,0,2024-02-05 15:57:01
"85","km^3","Reference","Africa_Eastern","groundwater grade11",2085,0,2024-02-05 15:57:01
"86","km^3","Reference","Africa_Eastern","groundwater grade11",2090,0,2024-02-05 15:57:01
"87","km^3","Reference","Africa_Eastern","groundwater grade11",2095,0,2024-02-05 15:57:01
"88","km^3","Reference","Africa_Eastern","groundwater grade11",2100,0,2024-02-05 15:57:01
"89","km^3","Reference","Africa_Eastern","groundwater grade12",1975,0,2024-02-05 15:57:01
"90","km^3","Reference","Africa_Eastern","groundwater grade12",1990,0,2024-02-05 15:57:01
"91","km^3","Reference","Africa_Eastern","groundwater grade12",2005,0,2024-02-05 15:57:01
"92","km^3","Reference","Africa_Eastern","groundwater grade12",2010,0,2024-02-05 15:57:01
"93","km^3","Reference","Africa_Eastern","groundwater grade12",2015,0,2024-02-05 15:57:01
"94","km^3","Reference","Africa_Eastern","groundwater grade12",2020,0,2024-02-05 15:57:01
"95","km^3","Reference","Africa_Eastern","groundwater grade12",2025,0,2024-02-05 15:57:01
"96","km^3","Reference","Africa_Eastern","groundwater grade12",2030,0,2024-02-05 15:57:01
"97","km^3","Reference","Africa_Eastern","groundwater grade12",2035,0,2024-02-05 15:57:01
"98","km^3","Reference","Africa_Eastern","groundwater grade12",2040,0,2024-02-05 15:57:01
"99","km^3","Reference","Africa_Eastern","groundwater grade12",2045,0,2024-02-05 15:57:01
"100","km^3","Reference","Africa_Eastern","groundwater grade12",2050,0,2024-02-05 15:57:01
"101","km^3","Reference","Africa_Eastern","groundwater grade12",2055,0,2024-02-05 15:57:01
"102","km^3","Reference","Africa_Eastern","groundwater grade12",2060,0,2024-02-05 15:57:01
"103","km^3","Reference","Africa_Eastern","groundwater grade12",2065,0,2024-02-05 15:57:01
"104","km^3","Reference","Africa_Eastern","groundwater grade12",2070,0,2024-02-05 15:57:01
"105","km^3","Reference","Africa_Eastern","groundwater grade12",2075,0,2024-02-05 15:57:01
"106","km^3","Reference","Africa_Eastern","groundwater grade12",2080,0,2024-02-05 15:57:01
"107","km^3","Reference","Africa_Eastern","groundwater grade12",2085,0,2024-02-05 15:57:01
"108","km^3","Reference","Africa_Eastern","groundwater grade12",2090,0,2024-02-05 15:57:01
"109","km^3","Reference","Africa_Eastern","groundwater grade12",2095,0,2024-02-05 15:57:01
"110","km^3","Reference","Africa_Eastern","groundwater grade12",2100,0,2024-02-05 15:57:01
"111","km^3","Reference","Africa_Eastern","groundwater grade13",1975,0,2024-02-05 15:57:01
