"","Units","scenario","region","fuel","year","value","rundate"
"1","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",1975,4.13533,2024-02-05 15:57:01
"2","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",1990,15.2629,2024-02-05 15:57:01
"3","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2005,14.5864,2024-02-05 15:57:01
"4","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2010,19.8735,2024-02-05 15:57:01
"5","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2015,21.3854,2024-02-05 15:57:01
"6","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2020,14.8658,2024-02-05 15:57:01
"7","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2025,13.8386,2024-02-05 15:57:01
"8","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2030,13.7054,2024-02-05 15:57:01
"9","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2035,13.5212,2024-02-05 15:57:01
"10","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2040,13.3496,2024-02-05 15:57:01
"11","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2045,13.1684,2024-02-05 15:57:01
"12","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2050,12.9483,2024-02-05 15:57:01
"13","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2055,12.7095,2024-02-05 15:57:01
"14","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2060,12.4887,2024-02-05 15:57:01
"15","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2065,12.3361,2024-02-05 15:57:01
"16","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2070,12.2141,2024-02-05 15:57:01
"17","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2075,12.0932,2024-02-05 15:57:01
"18","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2080,11.9704,2024-02-05 15:57:01
"19","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2085,11.8406,2024-02-05 15:57:01
"20","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2090,11.704,2024-02-05 15:57:01
"21","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2095,11.5679,2024-02-05 15:57:01
"22","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2100,11.4358,2024-02-05 15:57:01
"23","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",1975,1.85533,2024-02-05 15:57:01
"24","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",1990,13.0679,2024-02-05 15:57:01
"25","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2005,12.4764,2024-02-05 15:57:01
"26","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2010,17.8035,2024-02-05 15:57:01
"27","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2015,19.3554,2024-02-05 15:57:01
"28","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2020,13.0426,2024-02-05 15:57:01
"29","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2025,12.0478,2024-02-05 15:57:01
"30","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2030,11.9924,2024-02-05 15:57:01
