"","Units","scenario","region","year","value","rundate"
"1","thous","Reference","Africa_Eastern",1975,91890,2024-02-05 14:02:39
"2","thous","Reference","Africa_Eastern",1990,145593,2024-02-05 14:02:39
"3","thous","Reference","Africa_Eastern",2005,222829,2024-02-05 14:02:39
"4","thous","Reference","Africa_Eastern",2010,255333,2024-02-05 14:02:39
"5","thous","Reference","Africa_Eastern",2015,292560,2024-02-05 14:02:39
"6","thous","Reference","Africa_Eastern",2020,332564,2024-02-05 14:02:39
"7","thous","Reference","Africa_Eastern",2025,376014,2024-02-05 14:02:39
"8","thous","Reference","Africa_Eastern",2030,422572,2024-02-05 14:02:39
"9","thous","Reference","Africa_Eastern",2035,469976,2024-02-05 14:02:39
"10","thous","Reference","Africa_Eastern",2040,518622,2024-02-05 14:02:39
"11","thous","Reference","Africa_Eastern",2045,568589,2024-02-05 14:02:39
"12","thous","Reference","Africa_Eastern",2050,619806,2024-02-05 14:02:39
"13","thous","Reference","Africa_Eastern",2055,670098,2024-02-05 14:02:39
"14","thous","Reference","Africa_Eastern",2060,719135,2024-02-05 14:02:39
"15","thous","Reference","Africa_Eastern",2065,766439,2024-02-05 14:02:39
"16","thous","Reference","Africa_Eastern",2070,812484,2024-02-05 14:02:39
"17","thous","Reference","Africa_Eastern",2075,857407,2024-02-05 14:02:39
"18","thous","Reference","Africa_Eastern",2080,900924,2024-02-05 14:02:39
"19","thous","Reference","Africa_Eastern",2085,942368,2024-02-05 14:02:39
"20","thous","Reference","Africa_Eastern",2090,981568,2024-02-05 14:02:39
"21","thous","Reference","Africa_Eastern",2095,1018850,2024-02-05 14:02:39
"22","thous","Reference","Africa_Eastern",2100,1054080,2024-02-05 14:02:39
"23","thous","Reference","Africa_Northern",1975,81330,2024-02-05 14:02:39
"24","thous","Reference","Africa_Northern",1990,119597,2024-02-05 14:02:39
"25","thous","Reference","Africa_Northern",2005,155472,2024-02-05 14:02:39
"26","thous","Reference","Africa_Northern",2010,168395,2024-02-05 14:02:39
"27","thous","Reference","Africa_Northern",2015,184959,2024-02-05 14:02:39
"28","thous","Reference","Africa_Northern",2020,199193,2024-02-05 14:02:39
"29","thous","Reference","Africa_Northern",2025,213409,2024-02-05 14:02:39
"30","thous","Reference","Africa_Northern",2030,227069,2024-02-05 14:02:39
"31","thous","Reference","Africa_Northern",2035,239882,2024-02-05 14:02:39
"32","thous","Reference","Africa_Northern",2040,252251,2024-02-05 14:02:39
"33","thous","Reference","Africa_Northern",2045,264478,2024-02-05 14:02:39
"34","thous","Reference","Africa_Northern",2050,276457,2024-02-05 14:02:39
"35","thous","Reference","Africa_Northern",2055,287715,2024-02-05 14:02:39
"36","thous","Reference","Africa_Northern",2060,297987,2024-02-05 14:02:39
"37","thous","Reference","Africa_Northern",2065,307404,2024-02-05 14:02:39
"38","thous","Reference","Africa_Northern",2070,316284,2024-02-05 14:02:39
"39","thous","Reference","Africa_Northern",2075,325055,2024-02-05 14:02:39
"40","thous","Reference","Africa_Northern",2080,334012,2024-02-05 14:02:39
"41","thous","Reference","Africa_Northern",2085,343150,2024-02-05 14:02:39
"42","thous","Reference","Africa_Northern",2090,352308,2024-02-05 14:02:39
"43","thous","Reference","Africa_Northern",2095,361301,2024-02-05 14:02:39
"44","thous","Reference","Africa_Northern",2100,370064,2024-02-05 14:02:39
"45","thous","Reference","Africa_Southern",1975,53046,2024-02-05 14:02:39
"46","thous","Reference","Africa_Southern",1990,83159,2024-02-05 14:02:39
"47","thous","Reference","Africa_Southern",2005,121701,2024-02-05 14:02:39
"48","thous","Reference","Africa_Southern",2010,139244,2024-02-05 14:02:39
"49","thous","Reference","Africa_Southern",2015,160447,2024-02-05 14:02:39
"50","thous","Reference","Africa_Southern",2020,182336,2024-02-05 14:02:39
"51","thous","Reference","Africa_Southern",2025,206380,2024-02-05 14:02:39
"52","thous","Reference","Africa_Southern",2030,232405,2024-02-05 14:02:39
"53","thous","Reference","Africa_Southern",2035,259152,2024-02-05 14:02:39
"54","thous","Reference","Africa_Southern",2040,286826,2024-02-05 14:02:39
"55","thous","Reference","Africa_Southern",2045,315311,2024-02-05 14:02:39
"56","thous","Reference","Africa_Southern",2050,344393,2024-02-05 14:02:39
"57","thous","Reference","Africa_Southern",2055,373060,2024-02-05 14:02:39
"58","thous","Reference","Africa_Southern",2060,401065,2024-02-05 14:02:39
"59","thous","Reference","Africa_Southern",2065,428294,2024-02-05 14:02:39
"60","thous","Reference","Africa_Southern",2070,455129,2024-02-05 14:02:39
"61","thous","Reference","Africa_Southern",2075,481274,2024-02-05 14:02:39
"62","thous","Reference","Africa_Southern",2080,506916,2024-02-05 14:02:39
"63","thous","Reference","Africa_Southern",2085,531868,2024-02-05 14:02:39
"64","thous","Reference","Africa_Southern",2090,555735,2024-02-05 14:02:39
"65","thous","Reference","Africa_Southern",2095,578824,2024-02-05 14:02:39
"66","thous","Reference","Africa_Southern",2100,600787,2024-02-05 14:02:39
"67","thous","Reference","Africa_Western",1975,159160,2024-02-05 14:02:39
"68","thous","Reference","Africa_Western",1990,239535,2024-02-05 14:02:39
"69","thous","Reference","Africa_Western",2005,360464,2024-02-05 14:02:39
"70","thous","Reference","Africa_Western",2010,415301,2024-02-05 14:02:39
"71","thous","Reference","Africa_Western",2015,478031,2024-02-05 14:02:39
"72","thous","Reference","Africa_Western",2020,544889,2024-02-05 14:02:39
"73","thous","Reference","Africa_Western",2025,618697,2024-02-05 14:02:39
"74","thous","Reference","Africa_Western",2030,700350,2024-02-05 14:02:39
"75","thous","Reference","Africa_Western",2035,786284,2024-02-05 14:02:39
"76","thous","Reference","Africa_Western",2040,876468,2024-02-05 14:02:39
"77","thous","Reference","Africa_Western",2045,970363,2024-02-05 14:02:39
"78","thous","Reference","Africa_Western",2050,1067100,2024-02-05 14:02:39
"79","thous","Reference","Africa_Western",2055,1163230,2024-02-05 14:02:39
"80","thous","Reference","Africa_Western",2060,1257310,2024-02-05 14:02:39
"81","thous","Reference","Africa_Western",2065,1349520,2024-02-05 14:02:39
"82","thous","Reference","Africa_Western",2070,1438820,2024-02-05 14:02:39
"83","thous","Reference","Africa_Western",2075,1526150,2024-02-05 14:02:39
"84","thous","Reference","Africa_Western",2080,1610040,2024-02-05 14:02:39
"85","thous","Reference","Africa_Western",2085,1691120,2024-02-05 14:02:39
"86","thous","Reference","Africa_Western",2090,1767410,2024-02-05 14:02:39
"87","thous","Reference","Africa_Western",2095,1840340,2024-02-05 14:02:39
"88","thous","Reference","Africa_Western",2100,1909000,2024-02-05 14:02:39
"89","thous","Reference","Argentina",1975,25866,2024-02-05 14:02:39
"90","thous","Reference","Argentina",1990,32619,2024-02-05 14:02:39
"91","thous","Reference","Argentina",2005,38893,2024-02-05 14:02:39
"92","thous","Reference","Argentina",2010,40896,2024-02-05 14:02:39
"93","thous","Reference","Argentina",2015,43075,2024-02-05 14:02:39
"94","thous","Reference","Argentina",2020,45096,2024-02-05 14:02:39
"95","thous","Reference","Argentina",2025,47175,2024-02-05 14:02:39
"96","thous","Reference","Argentina",2030,49268,2024-02-05 14:02:39
"97","thous","Reference","Argentina",2035,51279,2024-02-05 14:02:39
"98","thous","Reference","Argentina",2040,53245,2024-02-05 14:02:39
"99","thous","Reference","Argentina",2045,55190,2024-02-05 14:02:39
"100","thous","Reference","Argentina",2050,57132,2024-02-05 14:02:39
"101","thous","Reference","Argentina",2055,59011,2024-02-05 14:02:39
"102","thous","Reference","Argentina",2060,60808,2024-02-05 14:02:39
"103","thous","Reference","Argentina",2065,62539,2024-02-05 14:02:39
"104","thous","Reference","Argentina",2070,64231,2024-02-05 14:02:39
"105","thous","Reference","Argentina",2075,65927,2024-02-05 14:02:39
"106","thous","Reference","Argentina",2080,67666,2024-02-05 14:02:39
"107","thous","Reference","Argentina",2085,69466,2024-02-05 14:02:39
"108","thous","Reference","Argentina",2090,71338,2024-02-05 14:02:39
"109","thous","Reference","Argentina",2095,73277,2024-02-05 14:02:39
"110","thous","Reference","Argentina",2100,75276,2024-02-05 14:02:39
"111","thous","Reference","Australia_NZ",1975,16856,2024-02-05 14:02:39
"112","thous","Reference","Australia_NZ",1990,20359,2024-02-05 14:02:39
"113","thous","Reference","Australia_NZ",2005,24314,2024-02-05 14:02:39
"114","thous","Reference","Australia_NZ",2010,26525,2024-02-05 14:02:39
"115","thous","Reference","Australia_NZ",2015,28547,2024-02-05 14:02:39
"116","thous","Reference","Australia_NZ",2020,30010,2024-02-05 14:02:39
"117","thous","Reference","Australia_NZ",2025,31101,2024-02-05 14:02:39
"118","thous","Reference","Australia_NZ",2030,31920,2024-02-05 14:02:39
"119","thous","Reference","Australia_NZ",2035,32563,2024-02-05 14:02:39
"120","thous","Reference","Australia_NZ",2040,33065,2024-02-05 14:02:39
"121","thous","Reference","Australia_NZ",2045,33423,2024-02-05 14:02:39
"122","thous","Reference","Australia_NZ",2050,33609,2024-02-05 14:02:39
