"","Units","scenario","region","fuel","year","value","rundate"
"1","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",1975,4.13533,2024-02-05 14:02:39
"2","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",1990,15.2629,2024-02-05 14:02:39
"3","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2005,14.5864,2024-02-05 14:02:39
"4","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2010,19.8735,2024-02-05 14:02:39
"5","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2015,21.3854,2024-02-05 14:02:39
"6","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2020,14.8642,2024-02-05 14:02:39
"7","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2025,13.869,2024-02-05 14:02:39
"8","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2030,13.7665,2024-02-05 14:02:39
"9","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2035,13.6234,2024-02-05 14:02:39
"10","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2040,13.4485,2024-02-05 14:02:39
"11","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2045,13.2637,2024-02-05 14:02:39
"12","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2050,13.0476,2024-02-05 14:02:39
"13","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2055,12.8238,2024-02-05 14:02:39
"14","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2060,12.6136,2024-02-05 14:02:39
"15","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2065,12.4626,2024-02-05 14:02:39
"16","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2070,12.3574,2024-02-05 14:02:39
"17","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2075,12.2504,2024-02-05 14:02:39
"18","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2080,12.1347,2024-02-05 14:02:39
"19","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2085,12.0085,2024-02-05 14:02:39
"20","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2090,11.8677,2024-02-05 14:02:39
"21","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2095,11.7161,2024-02-05 14:02:39
"22","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2100,11.5804,2024-02-05 14:02:39
